match_id,winner,year,surface,p1_age,p2_age,p1_rank_points,p2_rank_points,p1_first_won,p1_secnd_won,p2_first_won,p2_secnd_won,p1_win_err,p2_win_err,P1_win,P2_win
2024-usopen-1163,,13,0,0.5840000000000004,0.6859999999999974,0.029500000000000002,0.07333333333333333,0.5704225352112676,0.7058823529411765,0.6060606060606061,0.5426356589147286,0.7931034482758621,0.5555555555555556,0.93233776,0.06766224
2024-usopen-1164,,13,0,0.6939999999999978,0.7439999999999977,0.023555555555555555,0.41444444444444445,0.525,0.5384615384615384,0.9230769230769231,0.6,0.3333333333333333,0.575,0.008342699,0.9916573
2024-usopen-1201,,13,0,0.46,0.4,0.52,0.06194444444444445,0.660377358490566,0.8333333333333334,0.3333333333333333,0.47540983606557374,1.1666666666666667,0.40625,0.9999493,0.000050723553
2024-usopen-1203,,13,0,0.403999999999998,0.45799999999999846,0.09833333333333334,0.022944444444444444,0.5855855855855856,0.8,0.84,0.6538461538461539,0.8636363636363636,0.8409090909090909,0.7197369,0.28026313
2024-usopen-1204,,13,0,0.5260000000000008,0.5439999999999992,0.0325,0.16583333333333333,0.543859649122807,0.5,1.0,0.7631578947368421,0.8571428571428571,3.625,0.000094385905,0.9999056
2024-usopen-1205,,13,0,0.5660000000000023,0.55,0.037333333333333336,0.07361111111111111,0.5773195876288659,0.7647058823529411,0.9411764705882353,0.6867469879518072,0.6428571428571429,1.3636363636363635,0.027727788,0.9722722
2024-usopen-1206,,13,0,0.467999999999997,0.3779999999999979,0.01711111111111111,0.045111111111111116,0.5864661654135338,0.6666666666666666,0.7222222222222222,0.5637583892617449,0.9642857142857143,1.2115384615384615,0.50764143,0.49235857
2024-usopen-1207,,13,0,0.4460000000000022,0.5039999999999977,0.07877777777777778,0.03872222222222223,0.6,0.9,0.75,0.584070796460177,1.0,0.8333333333333334,0.9630098,0.036990225
2024-usopen-1208,,13,0,0.49600000000000183,0.5700000000000001,0.06055555555555556,0.34861111111111115,0.5185185185185185,0.5,0.7222222222222222,0.5714285714285714,0.6888888888888889,1.36,0.016289689,0.9837103
2024-usopen-1210,,13,0,0.47199999999999875,0.45199999999999885,0.04594444444444445,0.09416666666666668,0.5342465753424658,0.6153846153846154,1.0,0.6875,0.5714285714285714,0.9354838709677419,0.015341804,0.9846582
2024-usopen-1211,,13,0,0.6740000000000004,0.7220000000000039,0.04027777777777778,0.065,0.576271186440678,0.6785714285714286,0.5,0.5213675213675214,0.8,0.421875,0.97907925,0.020920753
2024-usopen-1212,,13,0,0.4760000000000016,0.4819999999999994,0.068,0.1413888888888889,0.6125,0.8571428571428571,0.5714285714285714,0.5333333333333333,1.3478260869565217,0.6216216216216216,0.99826676,0.0017332435
2024-usopen-1214,,13,0,0.46800000000000064,0.6839999999999976,0.07238888888888889,0.018000000000000002,0.4943820224719101,0.5,0.7857142857142857,0.6301369863013698,1.0833333333333333,1.1111111111111112,0.15426728,0.8457327
2024-usopen-1215,,13,0,0.47000000000000003,0.54,0.08166666666666667,0.050555555555555555,0.6388888888888888,0.9285714285714286,0.6428571428571429,0.5507246376811594,1.4545454545454546,0.7941176470588235,0.9984758,0.00152421
2024-usopen-1216,,13,0,0.6060000000000022,0.55,0.07644444444444445,0.2252777777777778,0.6046511627906976,0.8888888888888888,0.5555555555555556,0.5675675675675675,2.1176470588235294,0.8529411764705882,0.99970716,0.00029283762
2024-usopen-1217,,13,0,0.5120000000000012,0.7579999999999969,0.21416666666666667,0.06416666666666666,0.6470588235294118,0.8181818181818182,0.7272727272727273,0.5816326530612245,1.434782608695652,0.8771929824561403,0.9907234,0.0092766285
2024-usopen-1218,,13,0,0.6279999999999981,0.39,0.05088888888888889,0.04188888888888889,0.5306122448979592,0.6470588235294118,0.8823529411764706,0.6619718309859155,0.8666666666666667,1.7096774193548387,0.015521205,0.9844788
2024-usopen-1219,,13,0,0.5220000000000018,0.4760000000000021,0.12944444444444445,0.029555555555555557,0.6039603960396039,0.7619047619047619,0.8571428571428571,0.6631578947368421,0.7254901960784313,0.9142857142857143,0.4360898,0.5639102
2024-usopen-1220,,13,0,0.5660000000000017,0.5360000000000017,0.06444444444444444,0.17333333333333334,0.5733333333333334,0.625,0.9411764705882353,0.8703703703703703,0.7272727272727273,1.6111111111111112,0.0021230811,0.99787694
2024-usopen-1221,,13,0,0.46,0.44,0.06138888888888889,0.03383333333333333,0.6875,1.0,0.7142857142857143,0.5942028985507246,1.2857142857142858,0.967741935483871,0.99512845,0.004871547
2024-usopen-1222,,13,0,0.4979999999999972,0.4479999999999978,0.052222222222222225,0.1252777777777778,0.5789473684210527,0.75,0.72,0.578125,0.7258064516129032,1.186046511627907,0.40806812,0.5919319
2024-usopen-1223,,13,0,0.52,0.5020000000000026,0.08305555555555556,0.07416666666666667,0.5939849624060151,0.7727272727272727,0.782608695652174,0.6403508771929824,0.5625,0.6774193548387096,0.5964937,0.40350628
2024-usopen-1224,,13,0,0.55,0.546000000000002,0.04066666666666667,0.39083333333333337,0.5729166666666666,0.6111111111111112,0.8888888888888888,0.6911764705882353,0.6585365853658537,1.4827586206896552,0.0035982889,0.9964017
2024-usopen-1225,,13,0,0.5360000000000023,0.58,0.2669444444444445,0.050833333333333335,0.5985915492957746,0.782608695652174,0.5909090909090909,0.5365853658536586,1.8235294117647058,1.3095238095238095,0.9971673,0.0028327107
2024-usopen-1226,,13,0,0.6120000000000038,0.4539999999999975,0.018444444444444444,0.06972222222222223,0.6142857142857143,0.8214285714285714,0.8275862068965517,0.6176470588235294,0.8301886792452831,1.1551724137931034,0.44127995,0.55872005
2024-usopen-1227,,13,0,0.4719999999999994,0.5619999999999993,0.1,0.06722222222222222,0.47368421052631576,0.25,1.0,0.7037037037037037,0.15789473684210525,1.2222222222222223,0.0004063193,0.9995937
2024-usopen-1228,,13,0,0.47000000000000003,0.6639999999999979,0.04711111111111111,0.20305555555555557,0.5058823529411764,0.5,0.875,0.7450980392156863,0.5862068965517241,1.44,0.0014417014,0.9985583
2024-usopen-1229,,13,0,0.4360000000000013,0.7260000000000022,0.17277777777777778,0.043944444444444446,0.7164179104477612,1.0,0.7857142857142857,0.56,2.2222222222222223,0.5909090909090909,0.9999225,0.00007748604
2024-usopen-1230,,13,0,0.4739999999999994,0.53,0.0475,0.11777777777777779,0.46808510638297873,0.4444444444444444,0.8888888888888888,0.6,0.8095238095238095,1.4375,0.0042604837,0.9957395
2024-usopen-1231,,13,0,0.5,0.5460000000000015,0.09083333333333334,0.0648888888888889,0.6140350877192983,0.75,0.25,0.42857142857142855,1.44,0.19230769230769232,0.9999567,0.000043272972
